Model,Race,Sex,Age,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
GPT-5,All,Male,<20,Hippocampus,0.00545,0.00028,0.00545,0.00601,0.00489
GPT-5,All,Female,<20,Hippocampus,0.00550,0.00028,0.00550,0.00606,0.00494
GPT-5,All,Male,20-29,Hippocampus,0.00540,0.00027,0.00540,0.00594,0.00486
GPT-5,All,Female,20-29,Hippocampus,0.00545,0.00027,0.00545,0.00599,0.00491
GPT-5,All,Male,30-39,Hippocampus,0.00530,0.00027,0.00530,0.00584,0.00476
GPT-5,All,Female,30-39,Hippocampus,0.00535,0.00027,0.00535,0.00589,0.00481
GPT-5,All,Male,40-49,Hippocampus,0.00515,0.00026,0.00515,0.00567,0.00463
GPT-5,All,Female,40-49,Hippocampus,0.00520,0.00026,0.00520,0.00572,0.00468
GPT-5,All,Male,50-59,Hippocampus,0.00500,0.00026,0.00500,0.00552,0.00448
GPT-5,All,Female,50-59,Hippocampus,0.00505,0.00026,0.00505,0.00557,0.00453
GPT-5,All,Male,60-69,Hippocampus,0.00490,0.00026,0.00490,0.00542,0.00438
GPT-5,All,Female,60-69,Hippocampus,0.00495,0.00026,0.00495,0.00547,0.00443
GPT-5,All,Male,70-79,Hippocampus,0.00480,0.00025,0.00480,0.00530,0.00430
GPT-5,All,Female,70-79,Hippocampus,0.00485,0.00025,0.00485,0.00535,0.00435
GPT-5,All,Male,80-89,Hippocampus,0.00470,0.00025,0.00470,0.00520,0.00420
GPT-5,All,Female,80-89,Hippocampus,0.00475,0.00025,0.00475,0.00525,0.00425
GPT-5,All,Male,90+,Hippocampus,0.00460,0.00025,0.00460,0.00510,0.00410
GPT-5,All,Female,90+,Hippocampus,0.00465,0.00025,0.00465,0.00515,0.00415
GPT-5,All,Male,<20,Entorhinal Cortex,0.00215,0.00012,0.00215,0.00239,0.00191
GPT-5,All,Female,<20,Entorhinal Cortex,0.00218,0.00012,0.00218,0.00242,0.00194
GPT-5,All,Male,20-29,Entorhinal Cortex,0.00210,0.00012,0.00210,0.00234,0.00186
GPT-5,All,Female,20-29,Entorhinal Cortex,0.00213,0.00012,0.00213,0.00237,0.00189
GPT-5,All,Male,30-39,Entorhinal Cortex,0.00205,0.00012,0.00205,0.00229,0.00181
GPT-5,All,Female,30-39,Entorhinal Cortex,0.00208,0.00012,0.00208,0.00232,0.00184
GPT-5,All,Male,40-49,Entorhinal Cortex,0.00200,0.00012,0.00200,0.00224,0.00176
GPT-5,All,Female,40-49,Entorhinal Cortex,0.00203,0.00012,0.00203,0.00227,0.00179
GPT-5,All,Male,50-59,Entorhinal Cortex,0.00195,0.00012,0.00195,0.00219,0.00171
GPT-5,All,Female,50-59,Entorhinal Cortex,0.00198,0.00012,0.00198,0.00222,0.00174
GPT-5,All,Male,60-69,Entorhinal Cortex,0.00190,0.00012,0.00190,0.00214,0.00166
GPT-5,All,Female,60-69,Entorhinal Cortex,0.00193,0.00012,0.00193,0.00217,0.00169
GPT-5,All,Male,70-79,Entorhinal Cortex,0.00185,0.00012,0.00185,0.00209,0.00161
GPT-5,All,Female,70-79,Entorhinal Cortex,0.00188,0.00012,0.00188,0.00212,0.00164
GPT-5,All,Male,80-89,Entorhinal Cortex,0.00180,0.00012,0.00180,0.00204,0.00156
GPT-5,All,Female,80-89,Entorhinal Cortex,0.00183,0.00012,0.00183,0.00207,0.00159
GPT-5,All,Male,90+,Entorhinal Cortex,0.00175,0.00012,0.00175,0.00199,0.00151
GPT-5,All,Female,90+,Entorhinal Cortex,0.00178,0.00012,0.00178,0.00202,0.00154
