Model,Race,Sex,Age,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
Opus-4.1,All,Male,20-29,Hippocampus,0.00553,0.00048,0.00551,0.00649,0.00457
Opus-4.1,All,Male,20-29,Entorhinal Cortex,0.00241,0.00032,0.00239,0.00305,0.00177
Opus-4.1,All,Male,20-29,Temporal Lobes,0.08234,0.00612,0.08211,0.09458,0.07010
Opus-4.1,All,Male,20-29,Parietal Lobes,0.07856,0.00589,0.07834,0.09034,0.06678
Opus-4.1,All,Male,20-29,Amygdala,0.00223,0.00021,0.00221,0.00265,0.00181
Opus-4.1,All,Male,20-29,Basal Forebrain,NaN,NaN,NaN,NaN,NaN
Opus-4.1,All,Male,20-29,Accumbens,0.00076,0.00009,0.00075,0.00094,0.00058
Opus-4.1,All,Male,20-29,Ventral DC,NaN,NaN,NaN,NaN,NaN
Opus-4.1,All,Male,20-29,Lateral Ventricle,0.00891,0.00234,0.00867,0.01359,0.00423
Opus-4.1,All,Male,30-39,Hippocampus,0.00547,0.00047,0.00545,0.00641,0.00453
Opus-4.1,All,Male,30-39,Entorhinal Cortex,0.00238,0.00031,0.00236,0.00300,0.00176
Opus-4.1,All,Male,30-39,Temporal Lobes,0.08189,0.00608,0.08167,0.09405,0.06973
Opus-4.1,All,Male,30-39,Parietal Lobes,0.07812,0.00585,0.07790,0.08983,0.06641
Opus-4.1,All,Male,30-39,Amygdala,0.00221,0.00020,0.00219,0.00261,0.00181
Opus-4.1,All,Male,30-39,Basal Forebrain,NaN,NaN,NaN,NaN,NaN
Opus-4.1,All,Male,30-39,Accumbens,0.00074,0.00009,0.00073,0.00092,0.00056
Opus-4.1,All,Male,30-39,Ventral DC,NaN,NaN,NaN,NaN,NaN
Opus-4.1,All,Male,30-39,Lateral Ventricle,0.00934,0.00251,0.00908,0.01436,0.00432
Opus-4.1,All,Male,40-49,Hippocampus,0.00538,0.00046,0.00536,0.00630,0.00446
Opus-4.1,All,Male,40-49,Entorhinal Cortex,0.00234,0.00030,0.00232,0.00294,0.00174
Opus-4.1,All,Male,40-49,Temporal Lobes,0.08123,0.00603,0.08101,0.09329,0.06917
Opus-4.1,All,Male,40-49,Parietal Lobes,0.07745,0.00580,0.07724,0.08905,0.06585
Opus-4.1,All,Male,40-49,Amygdala,0.00218,0.00020,0.00216,0.00258,0.00178
Opus-4.1,All,Male,40-49,Basal Forebrain,NaN,NaN,NaN,NaN,NaN
Opus-4.1,All,Male,40-49,Accumbens,0.00072,0.00008,0.00071,0.00088,0.00056
Opus-4.1,All,Male,40-49,Ventral DC,NaN,NaN,NaN,NaN,NaN
Opus-4.1,All,Male,40-49,Lateral Ventricle,0.01012,0.00287,0.00982,0.01586,0.00438
Opus-4.1,All,Male,50-59,Hippocampus,0.00524,0.00045,0.00522,0.00614,0.00434
Opus-4.1,All,Male,50-59,Entorhinal Cortex,0.00228,0.00029,0.00226,0.00286,0.00170
Opus-4.1,All,Male,50-59,Temporal Lobes,0.08034,0.00596,0.08013,0.09226,0.06842
Opus-4.1,All,Male,50-59,Parietal Lobes,0.07656,0.00573,0.07635,0.08802,0.06510
Opus-4.1,All,Male,50-59,Amygdala,0.00214,0.00019,0.00212,0.00252,0.00176
Opus-4.1,All,Male,50-59,Basal Forebrain,NaN,NaN,NaN,NaN,NaN
Opus-4.1,All,Male,50-59,Accumbens,0.00069,0.00008,0.00068,0.00085,0.00053
Opus-4.1,All,Male,50-59,Ventral DC,NaN,NaN,NaN,NaN,NaN
Opus-4.1,All,Male,50-59,Lateral Ventricle,0.01134,0.00341,0.01098,0.01812,0.00456
Opus-4.1,All,Male,60-69,Hippocampus,0.00506,0.00043,0.00504,0.00592,0.00420
Opus-4.1,All,Male,60-69,Entorhinal Cortex,0.00220,0.00028,0.00218,0.00276,0.00164
Opus-4.1,All,Male,60-69,Temporal Lobes,0.07912,0.00587,0.07891,0.09089,0.06735
Opus-4.1,All,Male,60-69,Parietal Lobes,0.07534,0.00564,0.07513,0.08665,0.06403
Opus-4.1,All,Male,60-69,Amygdala,0.00209,0.00019,0.00207,0.00247,0.00171
Opus-4.1,All,Male,60-69,Basal Forebrain,NaN,NaN,NaN,NaN,NaN
Opus-4.1,All,Male,60-69,Accumbens,0.00065,0.00007,0.00064,0.00079,0.00051
Opus-4.1,All,Male,60-69,Ventral DC,NaN,NaN,NaN,NaN,NaN
Opus-4.1,All,Male,60-69,Lateral Ventricle,0.01312,0.00423,0.01268,0.02157,0.00467
Opus-4.1,All,Male,70-79,Hippocampus,0.00483,0.00041,0.00481,0.00565,0.00401
