Index,MRI_measure,disease,pvalue,cohens_d,cohens_d_CI_low,cohens_d_CI_high,Overlap,Overlap_CI_low,Overlap_CI_high
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,MCI,2.71E-05,0.417164812,0.222169982,0.611663817,0.819158521,0.721349847,0.875516775
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,AD,2.69E-05,0.276697848,0.147469705,0.405778251,0.884462727,0.807466861,0.908656632
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,PD,5.77E-05,-0.156935689,-0.233387705,-0.08045396,0.898202388,0.85366247,0.917148107
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,CSVD,5.85E-13,0.460313579,0.335021399,0.585419397,0.81386405,0.754781603,0.848487234
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,MS,1.71E-05,0.259501672,0.141185265,0.377701678,0.799457111,0.748171529,0.839070563
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,NMOSD,0.008605057,0.196098354,0.049794928,0.342266261,0.813608631,0.735766619,0.857723887
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,MCI,7.89E-05,0.391990799,0.197254242,0.586260355,0.821439908,0.733038283,0.880363041
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,AD,8.83E-09,0.380707364,0.250905713,0.510307385,0.815730297,0.765200751,0.868125931
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,PD,0.257557464,0.044113146,-0.032249698,0.120467603,0.952886582,0.907155316,0.958369085
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,CSVD,2.02E-10,0.405224541,0.280272687,0.530001653,0.814404432,0.743338812,0.852921884
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,MS,0.863069764,-0.010364999,-0.128126283,0.10740094,0.895063424,0.83358861,0.914430898
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,NMOSD,0.561497157,-0.043236888,-0.189123641,0.102679868,0.858611273,0.774809978,0.895097261
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,MCI,0.063998812,0.182550932,-0.010615927,0.375497139,0.830669647,0.740546342,0.876526533
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,AD,4.83E-44,0.962934699,0.826903075,1.098498728,0.575830061,0.51696668,0.617481579
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,PD,4.19E-51,0.598625512,0.52052929,0.676612749,0.754537687,0.717119706,0.789592595
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,CSVD,0.053614873,-0.121838612,-0.245511925,0.00189527,0.873581231,0.812109796,0.903770921
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,MS,6.77E-19,0.543237777,0.423200564,0.663037709,0.713859216,0.659107175,0.750943633
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,NMOSD,0.209757564,0.093438873,-0.052557926,0.239370832,0.823767125,0.737028759,0.859531418
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,MCI,0.005084863,0.276869125,0.083124007,0.470281324,0.83991932,0.740376357,0.886852265
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,AD,2.82E-52,1.063725667,0.926127599,1.200818106,0.518577042,0.458566375,0.56201486
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,PD,6.13E-09,0.227201785,0.150983373,0.30377583,0.902588543,0.873228771,0.927353331
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,CSVD,0.015786472,-0.152466276,-0.276196959,-0.028659874,0.892781843,0.831096171,0.925584637
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,MS,0.042798046,0.121851606,0.003951862,0.239696353,0.797681601,0.748058502,0.838760683
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,NMOSD,0.077745277,-0.131480383,-0.277477348,0.014607708,0.882794914,0.800841282,0.905857073
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,MCI,0.625180613,-0.048055141,-0.24070786,0.144655864,0.947090718,0.834655846,0.954685054
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,AD,0.000161093,0.248483308,0.119381337,0.377452373,0.869650519,0.801285462,0.898750052
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,PD,0.002390691,0.118413527,0.041986029,0.194818585,0.942011478,0.903941653,0.954918362
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,CSVD,3.30E-12,-0.444621359,-0.569622289,-0.319404095,0.795495964,0.742769104,0.827480501
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,MS,1.71E-26,0.65693002,0.535886409,0.777691089,0.706150205,0.65167218,0.741098652
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,NMOSD,0.006780999,0.202103351,0.055776075,0.348290978,0.884407258,0.814661902,0.909189087
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,MCI,0.14274293,0.14434154,-0.048651504,0.337159896,0.885716026,0.771105755,0.922329452
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,AD,2.46E-51,1.052490543,0.91507375,1.189405794,0.550268864,0.49634059,0.594204006
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,PD,1.87E-08,0.219753601,0.143153259,0.296312446,0.916475561,0.875936556,0.933061019
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,CSVD,0.024745265,0.141797993,0.018018483,0.265507075,0.926911827,0.854120551,0.948295976
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,MS,0.000754395,0.202990536,0.08487868,0.321011059,0.870105049,0.812999243,0.901074125
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,NMOSD,0.115768088,-0.117207531,-0.263177042,0.028843201,0.91492933,0.839391269,0.935700013
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,MCI,0.004282523,-0.282353759,-0.475799674,-0.088568507,0.872040863,0.764465206,0.912298556
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,AD,0.682580197,-0.026828089,-0.155366121,0.101724429,0.864589185,0.790178298,0.902905466
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,PD,1.11E-06,-0.190224403,-0.266728378,-0.113684474,0.860919036,0.822336647,0.889713657
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,CSVD,0.695008802,-0.024729534,-0.14831691,0.09887015,0.922615258,0.844454955,0.941504869
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,MS,2.41E-06,0.284845613,0.166422414,0.403141282,0.825744981,0.765872375,0.860035997
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,NMOSD,0.053495502,-0.143957608,-0.289981648,0.002166147,0.900480077,0.822105264,0.928256497
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,MCI,0.08422115,0.170136616,-0.022969857,0.363037345,0.913105161,0.789520268,0.940321269
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,AD,4.28E-18,0.58055037,0.449175754,0.711624252,0.73510544,0.680446822,0.779136931
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,PD,1.04E-09,0.238629925,0.161986647,0.315228204,0.890836663,0.85048977,0.917640388
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,CSVD,0.000496679,-0.22031739,-0.344226591,-0.09629913,0.83697224,0.770377339,0.863941343
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,MS,7.03E-28,0.67598839,0.554758835,0.796928025,0.687002861,0.630525016,0.734156481
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,NMOSD,0.194641692,0.096626401,-0.049376991,0.242562812,0.921594935,0.850071156,0.942236316
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,MCI,0.461059939,0.072521146,-0.120240319,0.265194731,0.904647884,0.795170956,0.921945134
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,AD,1.59E-15,0.531886904,0.400951535,0.662545058,0.794640196,0.727634831,0.840096145
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,PD,1.68E-06,-0.186969612,-0.263468049,-0.110435836,0.888219932,0.84484858,0.909842912
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,CSVD,1.16E-16,0.531769808,0.405883863,0.65739955,0.769998757,0.704066583,0.816996065
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,MS,1.12E-37,0.800631347,0.678066065,0.922860169,0.612113373,0.561682957,0.660123722
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,NMOSD,4.03E-07,0.380717589,0.233384189,0.527791101,0.822829881,0.749026458,0.860881995
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,MCI,0.133207795,0.147888512,-0.045119187,0.340717264,0.85097248,0.750834746,0.904681232
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,AD,1.10E-12,0.47335065,0.343201646,0.603556846,0.789639481,0.72598969,0.832126115
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,PD,0.001469491,0.124031075,0.04759655,0.200442114,0.942821706,0.897803771,0.945271305
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,CSVD,1.39E-05,0.275392205,0.151150016,0.399498487,0.876038163,0.820786285,0.905912303
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,MS,4.63E-05,0.245731801,0.127469527,0.363883716,0.827377224,0.771485824,0.858664157
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,NMOSD,0.328650452,-0.072757497,-0.218665204,0.07320072,0.905707882,0.826814881,0.925989742
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,MCI,0.055001737,0.189151258,-0.00404908,0.382123123,0.897885699,0.788436675,0.940112026
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,AD,7.21E-37,0.86952783,0.734825363,1.003800279,0.650066733,0.588284708,0.708006761
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,PD,6.27E-24,0.396817332,0.319682778,0.473877932,0.828180117,0.792795774,0.856406198
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,CSVD,0.030167754,0.136893616,0.013125891,0.260593329,0.927406339,0.86564347,0.947303089
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,MS,1.66E-21,0.584330177,0.4639497,0.704456774,0.710130917,0.655704754,0.764145819
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,NMOSD,0.798501926,0.019008579,-0.126885909,0.16488989,0.875610423,0.7994299,0.914075393
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,MCI,0.014122678,0.242259731,0.048751475,0.435476122,0.87326455,0.780371268,0.929069083
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,AD,1.73E-38,0.891162812,0.756163159,1.025723493,0.60516091,0.541019884,0.665938157
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,PD,0.000599064,0.133855549,0.057408056,0.210277758,0.941022712,0.899909031,0.957388281
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,CSVD,0.000310837,-0.228183869,-0.352118393,-0.104136375,0.917810763,0.848856517,0.936620649
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,MS,0.057956169,-0.114039805,-0.231872728,0.003844575,0.810059785,0.750796695,0.847060043
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,NMOSD,1.35E-08,-0.427632927,-0.575034185,-0.27994102,0.79873638,0.708703972,0.831192471
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,MCI,0.180587162,-0.131834963,-0.324619157,0.061108837,0.945097139,0.836401023,0.94270973
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,AD,0.950267974,-0.00409151,-0.132630054,0.124449228,0.903576166,0.839244693,0.931900022
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,PD,0.010207175,0.100135754,0.023729027,0.17652349,0.930657899,0.892398792,0.952310253
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,CSVD,4.98E-14,-0.481883719,-0.607139658,-0.356394235,0.792850016,0.738589061,0.833680605
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,MS,5.13E-12,0.419290554,0.30014597,0.538249492,0.803078961,0.752564701,0.841013663
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,NMOSD,0.093487996,0.125009218,-0.021061463,0.27099327,0.903174166,0.83810763,0.926246552
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,MCI,0.194922258,0.127612571,-0.065315457,0.32038607,0.869238604,0.764505206,0.913589003
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,AD,6.34E-51,1.04756666,0.910228777,1.18440483,0.542019853,0.484725981,0.597062188
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,PD,6.32E-08,0.211328799,0.13474654,0.287871179,0.916386827,0.883540665,0.938060672
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,CSVD,0.01521959,0.153308573,0.029500002,0.277041039,0.908753126,0.840081134,0.939126323
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,MS,0.039351928,0.12394968,0.006045705,0.24179773,0.857060919,0.796779706,0.890076923
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,NMOSD,0.010799241,-0.190232697,-0.336381959,-0.043951926,0.896072818,0.824894537,0.920676264
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,MCI,0.028914244,-0.215494504,-0.408579142,-0.022149837,0.905659457,0.798243271,0.921201631
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,AD,0.51004028,-0.043220861,-0.171763743,0.085345315,0.909024914,0.839707145,0.941174046
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,PD,3.03E-10,-0.246265082,-0.322880275,-0.169603487,0.85652999,0.815765721,0.889595206
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,CSVD,0.422521513,0.050595577,-0.073025632,0.174191497,0.933957103,0.863983893,0.951354755
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,MS,0.315989783,0.060275701,-0.057527531,0.178051689,0.83512319,0.769606027,0.87303013
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,NMOSD,6.39E-09,-0.437435183,-0.584909848,-0.28966348,0.780640275,0.706124934,0.835521339
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,MCI,0.41254687,0.080626354,-0.112155018,0.273309999,0.930685375,0.829069646,0.940779035
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,AD,1.38E-13,0.492598617,0.361991661,0.622947608,0.717643858,0.657622767,0.771879452
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,PD,4.19E-07,0.19760965,0.12105539,0.274126568,0.912679618,0.876406118,0.930125045
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,CSVD,0.004392388,-0.180026303,-0.303820944,-0.056142335,0.836224269,0.779824727,0.86353693
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,MS,3.74E-38,0.806325869,0.683694703,0.928618569,0.653815869,0.603623648,0.702560772
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,NMOSD,0.0511819,0.145381774,-0.000746222,0.291409101,0.870812268,0.810528831,0.908288464
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,MCI,0.916621768,0.010296784,-0.182364749,0.202945741,0.893384158,0.797295874,0.927244968
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,AD,4.01E-12,0.461025833,0.33066568,0.591143709,0.810530818,0.741223072,0.856796061
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,PD,1.24E-10,-0.251643616,-0.328271048,-0.174968788,0.878831112,0.838935732,0.900234508
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,CSVD,2.20E-19,0.579505182,0.453205838,0.70552699,0.76661974,0.702977094,0.803826768
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,MS,7.05E-36,0.778863651,0.656546439,0.900852329,0.601956689,0.539785272,0.652128431
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,NMOSD,1.55E-07,0.394391088,0.246957232,0.541556081,0.804668222,0.74204177,0.823565572
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,MCI,0.229923134,0.118183385,-0.074710911,0.310934583,0.878907824,0.792446361,0.924203588
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,AD,2.67E-11,0.442439481,0.312217466,0.572428552,0.800877717,0.733486321,0.836225449
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,PD,0.293686434,0.040913042,-0.035448167,0.117266435,0.951193546,0.908173952,0.960188983
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,CSVD,1.13E-06,0.308821208,0.184420627,0.433069747,0.870070969,0.806122666,0.905808515
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,MS,6.74E-09,0.351063495,0.232317402,0.469653195,0.793371707,0.736917247,0.827043394
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,NMOSD,0.291985867,0.07849242,-0.067475729,0.224406117,0.924318112,0.846209133,0.947808556
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,MCI,0.14990934,0.141794133,-0.051188578,0.334605269,0.926238365,0.818691821,0.961878961
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,AD,3.27E-06,0.307040623,0.177662793,0.43625491,0.829596336,0.768868766,0.872508655
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,PD,0.728268701,0.01353537,-0.062816142,0.08988433,0.946091971,0.898208261,0.955939044
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,CSVD,0.589358119,-0.034046819,-0.157636118,0.08955939,0.970658302,0.908377475,0.972536848
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,MS,1.29E-11,0.411068678,0.291975619,0.529979561,0.819365081,0.763903443,0.867926965
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,NMOSD,1.01E-05,0.330920507,0.183925004,0.477689207,0.848634049,0.783771886,0.899438494
lh.aparc.area.table_lh_caudalanteriorcingulate_area_loop_our_model.rds,lh_caudalanteriorcingulate_area,MCI,0.470024321,-0.071077561,-0.263749517,0.121680539,0.954224005,0.84547463,0.958501499
lh.aparc.area.table_lh_caudalanteriorcingulate_area_loop_our_model.rds,lh_caudalanteriorcingulate_area,AD,0.763140155,-0.019769762,-0.148307086,0.108778228,0.939674528,0.866973233,0.959414203
lh.aparc.area.table_lh_caudalanteriorcingulate_area_loop_our_model.rds,lh_caudalanteriorcingulate_area,PD,0.012263675,-0.097627487,-0.174013074,-0.021223369,0.935282358,0.890766574,0.952264849
lh.aparc.area.table_lh_caudalanteriorcingulate_area_loop_our_model.rds,lh_caudalanteriorcingulate_area,CSVD,0.910363475,-0.007100715,-0.130688134,0.116490258,0.943987229,0.878207485,0.961786545
lh.aparc.area.table_lh_caudalanteriorcingulate_area_loop_our_model.rds,lh_caudalanteriorcingulate_area,MS,0.401771788,0.050397645,-0.067395281,0.16816783,0.938489565,0.871057529,0.963871235
