Model,Race,Sex,AgeRange,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
GPT-5,All,Male,20-29,Hippocampus,0.00530,0.00035,0.00530,0.00600,0.00460
GPT-5,All,Male,20-29,Entorhinal Cortex,0.00145,0.00012,0.00145,0.00169,0.00121
GPT-5,All,Male,20-29,Temporal Lobes,0.07200,0.00400,0.07200,0.08000,0.06400
GPT-5,All,Male,20-29,Parietal Lobes,0.08200,0.00450,0.08200,0.09100,0.07300
GPT-5,All,Male,20-29,Amygdala,0.00180,0.00020,0.00180,0.00220,0.00140
GPT-5,All,Male,20-29,Basal Forebrain,0.00155,0.00015,0.00155,0.00185,0.00125
GPT-5,All,Male,20-29,Accumbens,0.00075,0.00008,0.00075,0.00091,0.00059
GPT-5,All,Male,20-29,Ventral DC,0.00235,0.00018,0.00235,0.00271,0.00199
GPT-5,All,Male,20-29,Lateral Ventricle,0.01400,0.00250,0.01400,0.01900,0.00900
GPT-5,All,Female,20-29,Hippocampus,0.00550,0.00035,0.00550,0.00620,0.00480
GPT-5,All,Female,20-29,Entorhinal Cortex,0.00150,0.00012,0.00150,0.00174,0.00126
GPT-5,All,Female,20-29,Temporal Lobes,0.07400,0.00400,0.07400,0.08200,0.06600
GPT-5,All,Female,20-29,Parietal Lobes,0.08300,0.00450,0.08300,0.09200,0.07400
GPT-5,All,Female,20-29,Amygdala,0.00190,0.00020,0.00190,0.00230,0.00150
GPT-5,All,Female,20-29,Basal Forebrain,0.00160,0.00015,0.00160,0.00190,0.00130
GPT-5,All,Female,20-29,Accumbens,0.00078,0.00008,0.00078,0.00094,0.00062
GPT-5,All,Female,20-29,Ventral DC,0.00240,0.00018,0.00240,0.00276,0.00204
GPT-5,All,Female,20-29,Lateral Ventricle,0.01350,0.00250,0.01350,0.01850,0.00850
GPT-5,All,Male,30-39,Hippocampus,0.00530,0.00035,0.00530,0.00600,0.00460
GPT-5,All,Male,30-39,Entorhinal Cortex,0.00145,0.00012,0.00145,0.00169,0.00121
GPT-5,All,Male,30-39,Temporal Lobes,0.07200,0.00400,0.07200,0.08000,0.06400
GPT-5,All,Male,30-39,Parietal Lobes,0.08200,0.00450,0.08200,0.09100,0.07300
GPT-5,All,Male,30-39,Amygdala,0.00180,0.00020,0.00180,0.00220,0.00140
GPT-5,All,Male,30-39,Basal Forebrain,0.00155,0.00015,0.00155,0.00185,0.00125
GPT-5,All,Male,30-39,Accumbens,0.00075,0.00008,0.00075,0.00091,0.00059
GPT-5,All,Male,30-39,Ventral DC,0.00235,0.00018,0.00235,0.00271,0.00199
GPT-5,All,Male,30-39,Lateral Ventricle,0.01600,0.00250,0.01600,0.02100,0.01100
GPT-5,All,Female,30-39,Hippocampus,0.00550,0.00035,0.00550,0.00620,0.00480
GPT-5,All,Female,30-39,Entorhinal Cortex,0.00150,0.00012,0.00150,0.00174,0.00126
GPT-5,All,Female,30-39,Temporal Lobes,0.07400,0.00400,0.07400,0.08200,0.06600
GPT-5,All,Female,30-39,Parietal Lobes,0.08300,0.00450,0.08300,0.09200,0.07400
GPT-5,All,Female,30-39,Amygdala,0.00190,0.00020,0.00190,0.00230,0.00150
GPT-5,All,Female,30-39,Basal Forebrain,0.00160,0.00015,0.00160,0.00190,0.00130
GPT-5,All,Female,30-39,Accumbens,0.00078,0.00008,0.00078,0.00094,0.00062
GPT-5,All,Female,30-39,Ventral DC,0.00240,0.00018,0.00240,0.00276,0.00204
GPT-5,All,Female,30-39,Lateral Ventricle,0.01550,0.00250,0.01550,0.02050,0.01050
GPT-5,All,Male,40-49,Hippocampus,0.00520,0.00035,0.00520,0.00590,0.00450
