Model,Race,Sex,Age,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
Gemini-2.5-Pro,All,Male,20-29,Hippocampus,0.0045,0.0005,0.0045,NaN,NaN
Gemini-2.5-Pro,All,Male,20-29,Entorhinal Cortex,0.0005,0.0001,0.0005,NaN,NaN
Gemini-2.5-Pro,All,Male,20-29,Temporal Lobes,0.085,0.008,0.085,NaN,NaN
Gemini-2.5-Pro,All,Male,20-29,Parietal Lobes,0.095,0.009,0.095,NaN,NaN
Gemini-2.5-Pro,All,Male,20-29,Amygdala,0.0018,0.0003,0.0018,NaN,NaN
Gemini-2.5-Pro,All,Male,20-29,Basal Forebrain,0.0004,0.0001,0.0004,NaN,NaN
Gemini-2.5-Pro,All,Male,20-29,Accumbens,0.0006,0.0001,0.0006,NaN,NaN
Gemini-2.5-Pro,All,Male,20-29,Ventral DC,0.0075,0.0007,0.0075,NaN,NaN
Gemini-2.5-Pro,All,Male,20-29,Lateral Ventricle,0.005,0.002,0.005,NaN,NaN
Gemini-2.5-Pro,All,Female,20-29,Hippocampus,0.0046,0.0005,0.0046,NaN,NaN
Gemini-2.5-Pro,All,Female,20-29,Entorhinal Cortex,0.0005,0.0001,0.0005,NaN,NaN
Gemini-2.5-Pro,All,Female,20-29,Temporal Lobes,0.086,0.008,0.086,NaN,NaN
Gemini-2.5-Pro,All,Female,20-29,Parietal Lobes,0.096,0.009,0.096,NaN,NaN
Gemini-2.5-Pro,All,Female,20-29,Amygdala,0.0019,0.0003,0.0019,NaN,NaN
Gemini-2.5-Pro,All,Female,20-29,Basal Forebrain,0.0004,0.0001,0.0004,NaN,NaN
Gemini-2.5-Pro,All,Female,20-29,Accumbens,0.0006,0.0001,0.0006,NaN,NaN
Gemini-2.5-Pro,All,Female,20-29,Ventral DC,0.0076,0.0007,0.0076,NaN,NaN
Gemini-2.5-Pro,All,Female,20-29,Lateral Ventricle,0.0048,0.002,0.0048,NaN,NaN
Gemini-2.5-Pro,All,Male,30-39,Hippocampus,0.0044,0.0005,0.0044,NaN,NaN
Gemini-2.5-Pro,All,Male,30-39,Entorhinal Cortex,0.0005,0.0001,0.0005,NaN,NaN
Gemini-2.5-Pro,All,Male,30-39,Temporal Lobes,0.084,0.008,0.084,NaN,NaN
Gemini-2.5-Pro,All,Male,30-39,Parietal Lobes,0.094,0.009,0.094,NaN,NaN
Gemini-2.5-Pro,All,Male,30-39,Amygdala,0.0018,0.0003,0.0018,NaN,NaN
Gemini-2.5-Pro,All,Male,30-39,Basal Forebrain,0.0004,0.0001,0.0004,NaN,NaN
Gemini-2.5-Pro,All,Male,30-39,Accumbens,0.0006,0.0001,0.0006,NaN,NaN
Gemini-2.5-Pro,All,Male,30-39,Ventral DC,0.0074,0.0007,0.0074,NaN,NaN
Gemini-2.5-Pro,All,Male,30-39,Lateral Ventricle,0.006,0.002,0.006,NaN,NaN
Gemini-2.5-Pro,All,Female,30-39,Hippocampus,0.0045,0.0005,0.0045,NaN,NaN
Gemini-2.5-Pro,All,Female,30-39,Entorhinal Cortex,0.0005,0.0001,0.0005,NaN,NaN
Gemini-2.5-Pro,All,Female,30-39,Temporal Lobes,0.085,0.008,0.085,NaN,NaN
Gemini-2.5-Pro,All,Female,30-39,Parietal Lobes,0.095,0.009,0.095,NaN,NaN
Gemini-2.5-Pro,All,Female,30-39,Amygdala,0.0019,0.0003,0.0019,NaN,NaN
Gemini-2.5-Pro,All,Female,30-39,Basal Forebrain,0.0004,0.0001,0.0004,NaN,NaN
Gemini-2.5-Pro,All,Female,30-39,Accumbens,0.0006,0.0001,0.0006,NaN,NaN
Gemini-2.5-Pro,All,Female,30-39,Ventral DC,0.0075,0.0007,0.0075,NaN,NaN
Gemini-2.5-Pro,All,Female,30-39,Lateral Ventricle,0.0058,0.002,0.0058,NaN,NaN
Gemini-2.5-Pro,All,Male,40-49,Hippocampus,0.0043,0.0005,0.0043,NaN,NaN
Gemini-2.5-Pro,All,Male,40-49,Entorhinal Cortex,0.0005,0.0001,0.0005,NaN,NaN
Gemini-2.5-Pro,All,Male,40-49,Temporal Lobes,0.083,0.008,0.083,NaN,NaN
Gemini-2.5-Pro,All,Male,40-49,Parietal Lobes,0.093,0.009,0.093,NaN,NaN
Gemini-2.5-Pro,All,Male,40-49,Amygdala,0.0017,0.0003,0.0017,NaN,NaN
Gemini-2.5-Pro,All,Male,40-49,Basal Forebrain,0.0004,0.0001,0.0004,NaN,NaN
Gemini-2.5-Pro,All,Male,40-49,Accumbens,0.0006,0.0001,0.0006,NaN,NaN
Gemini-2.5-Pro,All,Male,40-49,Ventral DC,0.0073,0.0007,0.0073,NaN,NaN
Gemini-2.5-Pro,All,Male,40-49,Lateral Ventricle,0.007,0.002,0.007,NaN,NaN
Gemini-2.5-Pro,All,Female,40-49,Hippocampus,0.0044,0.0005,0.0044,NaN,NaN
Gemini-2.5-Pro,All,Female,40-49,Entorhinal Cortex,0.0005,0.0001,0.0005,NaN,NaN
Gemini-2.5-Pro,All,Female,40-49,Temporal Lobes,0.084,0.008,0.084,NaN,NaN
Gemini-2.5-Pro,All,Female,40-49,Parietal Lobes,0.094,0.009,0.094,NaN,NaN
