Model,Race,Sex,AgeRange,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
Gemini-2.5-Pro,All,Male,20-29,Hippocampus,0.0050,0.0004,0.0050,0.0058,0.0042
Gemini-2.5-Pro,All,Male,20-29,Entorhinal Cortex,0.0011,0.0001,0.0011,0.0013,0.0009
Gemini-2.5-Pro,All,Male,20-29,Temporal Lobes,0.1010,0.0050,0.1010,0.1110,0.0910
Gemini-2.5-Pro,All,Male,20-29,Parietal Lobes,0.0960,0.0050,0.0960,0.1060,0.0860
Gemini-2.5-Pro,All,Male,20-29,Amygdala,0.0018,0.0002,0.0018,0.0022,0.0014
Gemini-2.5-Pro,All,Male,20-29,Basal Forebrain,0.00045,0.00005,0.00045,0.00055,0.00035
Gemini-2.5-Pro,All,Male,20-29,Accumbens,0.0007,0.0001,0.0007,0.0009,0.0005
Gemini-2.5-Pro,All,Male,20-29,Ventral DC,0.0033,0.0003,0.0033,0.0039,0.0027
Gemini-2.5-Pro,All,Male,20-29,Lateral Ventricle,0.0110,0.0020,0.0110,0.0150,0.0070
Gemini-2.5-Pro,All,Male,30-39,Hippocampus,0.0049,0.0004,0.0049,0.0057,0.0041
Gemini-2.5-Pro,All,Male,30-39,Entorhinal Cortex,0.0010,0.0001,0.0010,0.0012,0.0008
Gemini-2.5-Pro,All,Male,30-39,Temporal Lobes,0.1000,0.0050,0.1000,0.1100,0.0900
Gemini-2.5-Pro,All,Male,30-39,Parietal Lobes,0.0950,0.0050,0.0950,0.1050,0.0850
Gemini-2.5-Pro,All,Male,30-39,Amygdala,0.0017,0.0002,0.0017,0.0021,0.0013
Gemini-2.5-Pro,All,Male,30-39,Basal Forebrain,0.00044,0.00005,0.00044,0.00054,0.00034
Gemini-2.5-Pro,All,Male,30-39,Accumbens,0.0007,0.0001,0.0007,0.0009,0.0005
Gemini-2.5-Pro,All,Male,30-39,Ventral DC,0.0032,0.0003,0.0032,0.0038,0.0026
Gemini-2.5-Pro,All,Male,30-39,Lateral Ventricle,0.0120,0.0020,0.0120,0.0160,0.0080
Gemini-2.5-Pro,All,Male,40-49,Hippocampus,0.0048,0.0004,0.0048,0.0056,0.0040
Gemini-2.5-Pro,All,Male,40-49,Entorhinal Cortex,0.0010,0.0001,0.0010,0.0012,0.0008
Gemini-2.5-Pro,All,Male,40-49,Temporal Lobes,0.0990,0.0050,0.0990,0.1090,0.0890
Gemini-2.5-Pro,All,Male,40-49,Parietal Lobes,0.0940,0.0050,0.0940,0.1040,0.0840
Gemini-2.5-Pro,All,Male,40-49,Amygdala,0.0017,0.0002,0.0017,0.0021,0.0013
