Race,Sex,Age,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
Pooled,Male,20-29,Hippocampus,0.0052,0.0008,0.0051,0.0068,0.0036
Pooled,Female,20-29,Hippocampus,0.0048,0.0007,0.0047,0.0062,0.0034
Pooled,Male,30-39,Hippocampus,0.0051,0.0008,0.0050,0.0067,0.0035
Pooled,Female,30-39,Hippocampus,0.0047,0.0007,0.0046,0.0061,0.0033
Pooled,Male,40-49,Hippocampus,0.0050,0.0008,0.0049,0.0066,0.0034
Pooled,Female,40-49,Hippocampus,0.0046,0.0007,0.0045,0.0060,0.0032
Pooled,Male,50-59,Hippocampus,0.0049,0.0008,0.0048,0.0065,0.0033
Pooled,Female,50-59,Hippocampus,0.0045,0.0007,0.0044,0.0059,0.0031
Pooled,Male,60-69,Hippocampus,0.0047,0.0008,0.0046,0.0063,0.0031
Pooled,Female,60-69,Hippocampus,0.0043,0.0007,0.0042,0.0057,0.0029
Pooled,Male,70-79,Hippocampus,0.0045,0.0008,0.0044,0.0061,0.0029
Pooled,Female,70-79,Hippocampus,0.0041,0.0007,0.0040,0.0055,0.0027
Pooled,Male,20-29,Amygdala,0.0018,0.0003,0.0018,0.0024,0.0012
Pooled,Female,20-29,Amygdala,0.0016,0.0003,0.0016,0.0022,0.0010
Pooled,Male,30-39,Amygdala,0.0018,0.0003,0.0017,0.0024,0.0012
Pooled,Female,30-39,Amygdala,0.0016,0.0003,0.0015,0.0021,0.0010
Pooled,Male,40-49,Amygdala,0.0017,0.0003,0.0017,0.0023,0.0011
Pooled,Female,40-49,Amygdala,0.0015,0.0003,0.0015,0.0020,0.0009
Pooled,Male,50-59,Amygdala,0.0017,0.0003,0.0016,0.0022,0.0011
Pooled,Female,50-59,Amygdala,0.0015,0.0003,0.0014,0.0020,0.0009
Pooled,Male,60-69,Amygdala,0.0016,0.0003,0.0016,0.0021,0.0010
Pooled,Female,60-69,Amygdala,0.0014,0.0003,0.0014,0.0019,0.0008
Pooled,Male,70-79,Amygdala,0.0015,0.0003,0.0015,0.0020,0.0009
Pooled,Female,70-79,Amygdala,0.0013,0.0003,0.0013,0.0018,0.0007
Pooled,Male,20-29,Accumbens,0.0006,0.0001,0.0006,0.0008,0.0004
Pooled,Female,20-29,Accumbens,0.0005,0.0001,0.0005,0.0007,0.0003
Pooled,Male,30-39,Accumbens,0.0006,0.0001,0.0005,0.0008,0.0004
Pooled,Female,30-39,Accumbens,0.0005,0.0001,0.0005,0.0007,0.0003
Pooled,Male,40-49,Accumbens,0.0005,0.0001,0.0005,0.0007,0.0003
Pooled,Female,40-49,Accumbens,0.0005,0.0001,0.0004,0.0006,0.0003
Pooled,Male,50-59,Accumbens,0.0005,0.0001,0.0005,0.0007,0.0003
Pooled,Female,50-59,Accumbens,0.0004,0.0001,0.0004,0.0006,0.0002
Pooled,Male,60-69,Accumbens,0.0005,0.0001,0.0004,0.0006,0.0003
Pooled,Female,60-69,Accumbens,0.0004,0.0001,0.0004,0.0005,0.0002
Pooled,Male,70-79,Accumbens,0.0004,0.0001,0.0004,0.0006,0.0002
Pooled,Female,70-79,Accumbens,0.0004,0.0001,0.0003,0.0005,0.0002
Pooled,Male,20-29,Lateral_Ventricle,0.0045,0.0025,0.0038,0.0095,0.0020
Pooled,Female,20-29,Lateral_Ventricle,0.0042,0.0023,0.0035,0.0088,0.0019
Pooled,Male,30-39,Lateral_Ventricle,0.0052,0.0028,0.0043,0.0108,0.0024
Pooled,Female,30-39,Lateral_Ventricle,0.0048,0.0026,0.0040,0.0100,0.0022
Pooled,Male,40-49,Lateral_Ventricle,0.0065,0.0035,0.0053,0.0135,0.0030
Pooled,Female,40-49,Lateral_Ventricle,0.0060,0.0032,0.0049,0.0124,0.0028
Pooled,Male,50-59,Lateral_Ventricle,0.0085,0.0045,0.0070,0.0175,0.0040
Pooled,Female,50-59,Lateral_Ventricle,0.0078,0.0041,0.0064,0.0160,0.0037
Pooled,Male,60-69,Lateral_Ventricle,0.0115,0.0060,0.0095,0.0235,0.0055
Pooled,Female,60-69,Lateral_Ventricle,0.0105,0.0055,0.0087,0.0215,0.0050
Pooled,Male,70-79,Lateral_Ventricle,0.0155,0.0080,0.0128,0.0315,0.0075
Pooled,Female,70-79,Lateral_Ventricle,0.0142,0.0073,0.0117,0.0288,0.0069
