Model,Race,Sex,Age,ROI,RelativeVolume_mean,RelativeVolume_std,RelativeVolume_median,RelativeVolume_max,RelativeVolume_min
Grok-4,All,Male,<20,Hippocampus,0.00550,0.00030,0.00550,0.00610,0.00490
Grok-4,All,Female,<20,Hippocampus,0.00560,0.00030,0.00560,0.00620,0.00500
Grok-4,All,Male,20-29,Hippocampus,0.00540,0.00028,0.00540,0.00596,0.00484
Grok-4,All,Female,20-29,Hippocampus,0.00550,0.00028,0.00550,0.00606,0.00494
Grok-4,All,Male,30-39,Hippocampus,0.00530,0.00027,0.00530,0.00584,0.00476
Grok-4,All,Female,30-39,Hippocampus,0.00540,0.00027,0.00540,0.00594,0.00486
Grok-4,All,Male,40-49,Hippocampus,0.00515,0.00026,0.00515,0.00567,0.00463
Grok-4,All,Female,40-49,Hippocampus,0.00525,0.00026,0.00525,0.00577,0.00473
Grok-4,All,Male,50-59,Hippocampus,0.00500,0.00025,0.00500,0.00550,0.00450
Grok-4,All,Female,50-59,Hippocampus,0.00510,0.00025,0.00510,0.00560,0.00460
Grok-4,All,Male,60-69,Hippocampus,0.00485,0.00024,0.00485,0.00533,0.00437
Grok-4,All,Female,60-69,Hippocampus,0.00495,0.00024,0.00495,0.00543,0.00447
Grok-4,All,Male,70-79,Hippocampus,0.00470,0.00023,0.00470,0.00516,0.00424
Grok-4,All,Female,70-79,Hippocampus,0.00480,0.00023,0.00480,0.00526,0.00434
Grok-4,All,Male,80-89,Hippocampus,0.00455,0.00022,0.00455,0.00499,0.00411
Grok-4,All,Female,80-89,Hippocampus,0.00465,0.00022,0.00465,0.00509,0.00421
Grok-4,All,Male,90+,Hippocampus,0.00440,0.00021,0.00440,0.00482,0.00398
Grok-4,All,Female,90+,Hippocampus,0.00450,0.00021,0.00450,0.00492,0.00408
Grok-4,All,Male,<20,Entorhinal Cortex,0.00220,0.00013,0.00220,0.00246,0.00194
Grok-4,All,Female,<20,Entorhinal Cortex,0.00225,0.00013,0.00225,0.00251,0.00199
Grok-4,All,Male,20-29,Entorhinal Cortex,0.00215,0.00012,0.00215,0.00239,0.00191
Grok-4,All,Female,20-29,Entorhinal Cortex,0.00220,0.00012,0.00220,0.00244,0.00196
Grok-4,All,Male,30-39,Entorhinal Cortex,0.00210,0.00012,0.00210,0.00234,0.00186
Grok-4,All,Female,30-39,Entorhinal Cortex,0.00215,0.00012,0.00215,0.00239,0.00191
Grok-4,All,Male,40-49,Entorhinal Cortex,0.00205,0.00011,0.00205,0.00227,0.00183
Grok-4,All,Female,40-49,Entorhinal Cortex,0.00210,0.00011,0.00210,0.00232,0.00188
Grok-4,All,Male,50-59,Entorhinal Cortex,0.00200,0.00011,0.00200,0.00222,0.00178
Grok-4,All,Female,50-59,Entorhinal Cortex,0.00205,0.00011,0.00205,0.00227,0.00183
Grok-4,All,Male,60-69,Entorhinal Cortex,0.00195,0.00011,0.00195,0.00217,0.00173
Grok-4,All,Female,60-69,Entorhinal Cortex,0.00200,0.00011,0.00200,0.00222,0.00178
Grok-4,All,Male,70-79,Entorhinal Cortex,0.00190,0.00010,0.00190,0.00210,0.00170
Grok-4,All,Female,70-79,Entorhinal Cortex,0.00195,0.00010,0.00195,0.00215,0.00175
Grok-4,All,Male,80-89,Entorhinal Cortex,0.00185,0.00010,0.00185,0.00205,0.00165
Grok-4,All,Female,80-89,Entorhinal Cortex,0.00190,0.00010,0.00190,0.00210,0.00170
Grok-4,All,Male,90+,Entorhinal Cortex,0.00180,0.00010,0.00180,0.00200,0.00160
Grok-4,All,Female,90+,Entorhinal Cortex,0.00185,0.00010,0.00185,0.00205,0.00165
Grok-4,All,Male,<20,Temporal Lobes,0.12400,0.00460,0.12400,0.13320,0.11480
Grok-4,All,Female,<20,Temporal Lobes,0.12550,0.00460,0.12550,0.13470,0.11630
Grok-4,All,Male,20-29,Temporal Lobes,0.12300,0.00450,0.12300,0.13200,0.11400
Grok-4,All,Female,20-29,Temporal Lobes,0.12450,0.00450,0.12450,0.13350,0.11550
Grok-4,All,Male,30-39,Temporal Lobes,0.12200,0.00440,0.12200,0.13080,0.11320
Grok-4,All,Female,30-39,Temporal Lobes,0.12350,0.00440,0.12350,0.13230,0.11470
Grok-4,All,Male,40-49,Temporal Lobes,0.12050,0.00430,0.12050,0.12910,0.11190
Grok-4,All,Female,40-49,Temporal Lobes,0.12200,0.00430,0.12200,0.13060,0.11340
Grok-4,All,Male,50-59,Temporal Lobes,0.11900,0.00420,0.11900,0.12740,0.11060
Grok-4,All,Female,50-59,Temporal Lobes,0.12050,0.00420,0.12050,0.12910,0.11190
Grok-4,All,Male,60-69,Temporal Lobes,0.11750,0.00410,0.11750,0.12570,0.10930
Grok-4,All,Female,60-69,Temporal Lobes,0.11900,0.00410,0.11900,0.12740,0.11060
Grok-4,All,Male,70-79,Temporal Lobes,0.11600,0.00400,0.11600,0.12400,0.10800
Grok-4,All,Female,70-79,Temporal Lobes,0.11750,0.00400,0.11750,0.12570,0.10930
Grok-4,All,Male,80-89,Temporal Lobes,0.11450,0.00390,0.11450,0.12230,0.10670
Grok-4,All,Female,80-89,Temporal Lobes,0.11600,0.00390,0.11600,0.12380,0.10820
Grok-4,All,Male,90+,Temporal Lobes,0.11300,0.00380,0.11300,0.12060,0.10540
Grok-4,All,Female,90+,Temporal Lobes,0.11450,0.00380,0.11450,0.12210,0.10690
Grok-4,All,Male,<20,Parietal Lobes,0.11900,0.00410,0.11900,0.12720,0.11080
Grok-4,All,Female,<20,Parietal Lobes,0.12050,0.00410,0.12050,0.12870,0.11230
Grok-4,All,Male,20-29,Parietal Lobes,0.11800,0.00400,0.11800,0.12600,0.11000
Grok-4,All,Female,20-29,Parietal Lobes,0.11950,0.00400,0.11950,0.12750,0.11150
Grok-4,All,Male,30-39,Parietal Lobes,0.11700,0.00390,0.11700,0.12480,0.10920
Grok-4,All,Female,30-39,Parietal Lobes,0.11850,0.00390,0.11850,0.12630,0.11070
Grok-4,All,Male,40-49,Parietal Lobes,0.11550,0.00380,0.11550,0.12310,0.10790
Grok-4,All,Female,40-49,Parietal Lobes,0.11700,0.00380,0.11700,0.12460,0.10940
Grok-4,All,Male,50-59,Parietal Lobes,0.11400,0.00370,0.11400,0.12140,0.10660
Grok-4,All,Female,50-59,Parietal Lobes,0.11550,0.00370,0.11550,0.12290,0.10810
Grok-4,All,Male,60-69,Parietal Lobes,0.11250,0.00360,0.11250,0.11970,0.10530
Grok-4,All,Female,60-69,Parietal Lobes,0.11400,0.00360,0.11400,0.12120,0.10680
Grok-4,All,Male,70-79,Parietal Lobes,0.11100,0.00350,0.11100,0.11800,0.10400
Grok-4,All,Female,70-79,Parietal Lobes,0.11250,0.00350,0.11250,0.11950,0.10550
Grok-4,All,Male,80-89,Parietal Lobes,0.10950,0.00340,0.10950,0.11630,0.10270
Grok-4,All,Female,80-89,Parietal Lobes,0.11100,0.00340,0.11100,0.11780,0.10420
Grok-4,All,Male,90+,Parietal Lobes,0.10800,0.00330,0.10800,0.11460,0.10140
Grok-4,All,Female,90+,Parietal Lobes,0.10950,0.00330,0.10950,0.11610,0.10290
Grok-4,All,Male,<20,Amygdala,0.00200,0.00011,0.00200,0.00222,0.00178
Grok-4,All,Female,<20,Amygdala,0.00205,0.00011,0.00205,0.00227,0.00183
Grok-4,All,Male,20-29,Amygdala,0.00195,0.00010,0.00195,0.00215,0.00175
Grok-4,All,Female,20-29,Amygdala,0.00200,0.00010,0.00200,0.00220,0.00180
Grok-4,All,Male,30-39,Amygdala,0.00190,0.00010,0.00190,0.00210,0.00170
Grok-4,All,Female,30-39,Amygdala,0.00195,0.00010,0.00195,0.00215,0.00175
Grok-4,All,Male,40-49,Amygdala,0.00185,0.00009,0.00185,0.00203,0.00167
Grok-4,All,Female,40-49,Amygdala,0.00190,0.00009,0.00190,0.00208,0.00172
Grok-4,All,Male,50-59,Amygdala,0.00180,0.00009,0.00180,0.00198,0.00162
Grok-4,All,Female,50-59,Amygdala,0.00185,0.00009,0.00185,0.00203,0.00167
Grok-4,All,Male,60-69,Amygdala,0.00175,0.00009,0.00175,0.00193,0.00157
Grok-4,All,Female,60-69,Amygdala,0.00180,0.00009,0.00180,0.00198,0.00162
Grok-4,All,Male,70-79,Amygdala,0.00170,0.00008,0.00170,0.00186,0.00154
Grok-4,All,Female,70-79,Amygdala,0.00175,0.00008,0.00175,0.00191,0.00159
Grok-4,All,Male,80-89,Amygdala,0.00165,0.00008,0.00165,0.00181,0.00149
Grok-4,All,Female,80-89,Amygdala,0.00170,0.00008,0.00170,0.00186,0.00154
Grok-4,All,Male,90+,Amygdala,0.00160,0.00008,0.00160,0.00176,0.00144
Grok-4,All,Female,90+,Amygdala,0.00165,0.00008,0.00165,0.00181,0.00149
Grok-4,All,Male,<20,Basal Forebrain,0.00055,0.00004,0.00055,0.00063,0.00047
Grok-4,All,Female,<20,Basal Forebrain,0.00056,0.00004,0.00056,0.00064,0.00048
Grok-4,All,Male,20-29,Basal Forebrain,0.00054,0.00003,0.00054,0.00060,0.00048
Grok-4,All,Female,20-29,Basal Forebrain,0.00055,0.00003,0.00055,0.00061,0.00049
Grok-4,All,Male,30-39,Basal Forebrain,0.00053,0.00003,0.00053,0.00059,0.00047
Grok-4,All,Female,30-39,Basal Forebrain,0.00054,0.00003,0.00054,0.00060,0.00048
Grok-4,All,Male,40-49,Basal Forebrain,0.00052,0.00003,0.00052,0.00058,0.00046
Grok-4,All,Female,40-49,Basal Forebrain,0.00053,0.00003,0.00053,0.00059,0.00047
Grok-4,All,Male,50-59,Basal Forebrain,0.00051,0.00003,0.00051,0.00057,0.00045
Grok-4,All,Female,50-59,Basal Forebrain,0.00052,0.00003,0.00052,0.00058,0.00046
Grok-4,All,Male,60-69,Basal Forebrain,0.00050,0.00003,0.00050,0.00056,0.00044
Grok-4,All,Female,60-69,Basal Forebrain,0.00051,0.00003,0.00051,0.00057,0.00045
Grok-4,All,Male,70-79,Basal Forebrain,0.00049,0.00003,0.00049,0.00055,0.00043
Grok-4,All,Female,70-79,Basal Forebrain,0.00050,0.00003,0.00050,0.00056,0.00044
Grok-4,All,Male,80-89,Basal Forebrain,0.00048,0.00003,0.00048,0.00054,0.00042
Grok-4,All,Female,80-89,Basal Forebrain,0.00049,0.00003,0.00049,0.00055,0.00043
Grok-4,All,Male,90+,Basal Forebrain,0.00047,0.00003,0.00047,0.00053,0.00041
Grok-4,All,Female,90+,Basal Forebrain,0.00048,0.00003,0.00048,0.00054,0.00042
Grok-4,All,Male,<20,Accumbens,0.00080,0.00006,0.00080,0.00092,0.00068
Grok-4,All,Female,<20,Accumbens,0.00082,0.00006,0.00082,0.00094,0.00070
Grok-4,All,Male,20-29,Accumbens,0.00079,0.00005,0.00079,0.00089,0.00069
Grok-4,All,Female,20-29,Accumbens,0.00081,0.00005,0.00081,0.00091,0.00071
Grok-4,All,Male,30-39,Accumbens,0.00078,0.00005,0.00078,0.00088,0.00068
Grok-4,All,Female,30-39,Accumbens,0.00080,0.00005,0.00080,0.00090,0.00070
Grok-4,All,Male,40-49,Accumbens,0.00076,0.00005,0.00076,0.00086,0.00066
Grok-4,All,Female,40-49,Accumbens,0.00078,0.00005,0.00078,0.00088,0.00068
Grok-4,All,Male,50-59,Accumbens,0.00074,0.00005,0.00074,0.00084,0.00064
Grok-4,All,Female,50-59,Accumbens,0.00076,0.00005,0.00076,0.00086,0.00066
Grok-4,All,Male,60-69,Accumbens,0.00072,0.00004,0.00072,0.00080,0.00064
Grok-4,All,Female,60-69,Accumbens,0.00074,0.00004,0.00074,0.00082,0.00066
Grok-4,All,Male,70-79,Accumbens,0.00070,0.00004,0.00070,0.00078,0.00062
Grok-4,All,Female,70-79,Accumbens,0.00072,0.00004,0.00072,0.00080,0.00064
Grok-4,All,Male,80-89,Accumbens,0.00068,0.00004,0.00068,0.00076,0.00060
Grok-4,All,Female,80-89,Accumbens,0.00070,0.00004,0.00070,0.00078,0.00062
Grok-4,All,Male,90+,Accumbens,0.00066,0.00004,0.00066,0.00074,0.00058
Grok-4,All,Female,90+,Accumbens,0.00068,0.00004,0.00068,0.00076,0.00060
Grok-4,All,Male,<20,Ventral DC,0.02180,0.00085,0.02180,0.02350,0.02010
Grok-4,All,Female,<20,Ventral DC,0.02200,0.00085,0.02200,0.02370,0.02030
Grok-4,All,Male,20-29,Ventral DC,0.02160,0.00080,0.02160,0.02320,0.02000
Grok-4,All,Female,20-29,Ventral DC,0.02180,0.00080,0.02180,0.02340,0.02020
Grok-4,All,Male,30-39,Ventral DC,0.02140,0.00078,0.02140,0.02296,0.01984
Grok-4,All,Female,30-39,Ventral DC,0.02160,0.00078,0.02160,0.02316,0.02004
Grok-4,All,Male,40-49,Ventral DC,0.02120,0.00076,0.02120,0.02272,0.01968
Grok-4,All,Female,40-49,Ventral DC,0.02140,0.00076,0.02140,0.02292,0.01988
Grok-4,All,Male,50-59,Ventral DC,0.02100,0.00074,0.02100,0.02248,0.01952
Grok-4,All,Female,50-59,Ventral DC,0.02120,0.00074,0.02120,0.02268,0.01972
Grok-4,All,Male,60-69,Ventral DC,0.02080,0.00072,0.02080,0.02224,0.01936
Grok-4,All,Female,60-69,Ventral DC,0.02100,0.00072,0.02100,0.02244,0.01956
Grok-4,All,Male,70-79,Ventral DC,0.02060,0.00070,0.02060,0.02200,0.01920
Grok-4,All,Female,70-79,Ventral DC,0.02080,0.00070,0.02080,0.02220,0.01940
Grok-4,All,Male,80-89,Ventral DC,0.02040,0.00068,0.02040,0.02176,0.01904
Grok-4,All,Female,80-89,Ventral DC,0.02060,0.00068,0.02060,0.02196,0.01924
Grok-4,All,Male,90+,Ventral DC,0.02020,0.00066,0.02020,0.02152,0.01888
Grok-4,All,Female,90+,Ventral DC,0.02040,0.00066,0.02040,0.02172,0.01908
Grok-4,All,Male,<20,Lateral Ventricle,0.01550,0.00170,0.01550,0.01890,0.01210
Grok-4,All,Female,<20,Lateral Ventricle,0.01500,0.00170,0.01500,0.01840,0.01160
Grok-4,All,Male,20-29,Lateral Ventricle,0.01600,0.00180,0.01600,0.01960,0.01240
Grok-4,All,Female,20-29,Lateral Ventricle,0.01550,0.00180,0.01550,0.01910,0.01190
Grok-4,All,Male,30-39,Lateral Ventricle,0.01700,0.00190,0.01700,0.02080,0.01320
Grok-4,All,Female,30-39,Lateral Ventricle,0.01650,0.00190,0.01650,0.02030,0.01270
Grok-4,All,Male,40-49,Lateral Ventricle,0.01850,0.00210,0.01850,0.02270,0.01430
Grok-4,All,Female,40-49,Lateral Ventricle,0.01800,0.00210,0.01800,0.02220,0.01380
Grok-4,All,Male,50-59,Lateral Ventricle,0.02050,0.00240,0.02050,0.02530,0.01570
Grok-4,All,Female,50-59,Lateral Ventricle,0.02000,0.00240,0.02000,0.02480,0.01520
Grok-4,All,Male,60-69,Lateral Ventricle,0.02350,0.00270,0.02350,0.02890,0.01810
Grok-4,All,Female,60-69,Lateral Ventricle,0.02300,0.00270,0.02300,0.02840,0.01760
Grok-4,All,Male,70-79,Lateral Ventricle,0.02650,0.00300,0.02650,0.03250,0.02050
Grok-4,All,Female,70-79,Lateral Ventricle,0.02600,0.00300,0.02600,0.03200,0.02000
Grok-4,All,Male,80-89,Lateral Ventricle,0.02900,0.00320,0.02900,0.03540,0.02260
Grok-4,All,Female,80-89,Lateral Ventricle,0.02850,0.00320,0.02850,0.03490,0.02210
Grok-4,All,Male,90+,Lateral Ventricle,0.03100,0.00340,0.03100,0.03780,0.02420
Grok-4,All,Female,90+,Lateral Ventricle,0.03050,0.00340,0.03050,0.03730,0.02370
