clinical_feature,MRI_feature,disease,rvalue,pvalue_r
MMSE,lh.accumbens.area.volume,HC,0.044128943,0.125452983
MMSE,lh.amygdala.volume,HC,0.10505283,0.000256107
MMSE,lh.caudate.volume,HC,0.026125662,0.364475746
MMSE,lh.hippocampus.volume,HC,0.1041809,0.000288333
MMSE,lh.pallidum.volume,HC,0.04941192,0.08617416
MMSE,lh.putamen.volume,HC,0.040004078,0.164852862
MMSE,lh.thalamus.volume,HC,0.075488215,0.008699791
MMSE,lh.ventraldc.volume,HC,0.110290849,0.000123304
MMSE,rh.accumbens.area.volume,HC,0.046063175,0.109706577
MMSE,rh.amygdala.volume,HC,0.112485438,8.99E-05
MMSE,rh.caudate.volume,HC,-0.049649958,0.084669878
MMSE,rh.hippocampus.volume,HC,0.102394162,0.000366569
MMSE,rh.pallidum.volume,HC,0.058341222,0.042712409
MMSE,rh.putamen.volume,HC,0.076719952,0.007663044
MMSE,rh.thalamus.volume,HC,0.078128213,0.006614332
MMSE,rh.ventraldc.volume,HC,0.086282266,0.002698904
MMSE,lh_bankssts_thickness,HC,0.03808819,0.186046614
MMSE,lh_caudalanteriorcingulate_thickness,HC,0.072136375,0.012182108
MMSE,lh_caudalmiddlefrontal_thickness,HC,0.005405738,0.851180482
MMSE,lh_cuneus_thickness,HC,0.041800461,0.146680379
MMSE,lh_entorhinal_thickness,HC,0.039035797,0.175325379
MMSE,lh_frontalpole_thickness,HC,0.003060819,0.915400869
MMSE,lh_fusiform_thickness,HC,0.078525544,0.006342737
MMSE,lh_inferiorparietal_thickness,HC,0.051774343,0.072164076
MMSE,lh_inferiortemporal_thickness,HC,0.056743794,0.04873153
MMSE,lh_insula_thickness,HC,0.034127541,0.236107431
MMSE,lh_isthmuscingulate_thickness,HC,0.062923616,0.028816503
MMSE,lh_lateraloccipital_thickness,HC,0.084374383,0.003351401
MMSE,lh_lateralorbitofrontal_thickness,HC,0.012916661,0.653934433
MMSE,lh_lingual_thickness,HC,0.032046226,0.265932208
MMSE,lh_medialorbitofrontal_thickness,HC,0.02923644,0.310156282
MMSE,lh_middletemporal_thickness,HC,0.05149104,0.073738969
MMSE,lh_paracentral_thickness,HC,0.063981031,0.026229459
MMSE,lh_parahippocampal_thickness,HC,0.010620732,0.712416529
MMSE,lh_parsopercularis_thickness,HC,0.059535329,0.038634168
MMSE,lh_parsorbitalis_thickness,HC,0.020666468,0.473173495
MMSE,lh_parstriangularis_thickness,HC,0.025733572,0.371720666
