Index,MRI_measure,disease,pvalue,cohens_d,cohens_d_CI_low,cohens_d_CI_high,Overlap,Overlap_CI_low,Overlap_CI_high
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,MCI,2.71E-05,0.417164812,0.222169982,0.611663817,0.819158521,0.721349847,0.875516775
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,AD,2.69E-05,0.276697848,0.147469705,0.405778251,0.884462727,0.807466861,0.908656632
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,PD,5.77E-05,-0.156935689,-0.233387705,-0.08045396,0.898202388,0.85366247,0.917148107
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,CSVD,5.85E-13,0.460313579,0.335021399,0.585419397,0.81386405,0.754781603,0.848487234
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,MS,1.71E-05,0.259501672,0.141185265,0.377701678,0.799457111,0.748171529,0.839070563
aseg.vol.table_Brain.Stem_loop_our_model.rds,Brain.Stem,NMOSD,0.008605057,0.196098354,0.049794928,0.342266261,0.813608631,0.735766619,0.857723887
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,MCI,7.89E-05,0.391990799,0.197254242,0.586260355,0.821439908,0.728077682,0.887559392
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,AD,8.83E-09,0.380707364,0.250905713,0.510307385,0.815730297,0.756102307,0.864979796
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,PD,0.257557464,0.044113146,-0.032249698,0.120467603,0.952886582,0.911820336,0.954609448
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,CSVD,2.02E-10,0.405224541,0.280272687,0.530001653,0.814404432,0.757280671,0.858701423
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,MS,0.863069764,-0.010364999,-0.128126283,0.10740094,0.895063424,0.829833318,0.909258397
aseg.vol.table_cerebellum_total_loop_our_model.rds,cerebellum_total,NMOSD,0.561497157,-0.043236888,-0.189123641,0.102679868,0.858611273,0.790385571,0.897684338
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,MCI,0.001222041,0.320077641,0.125997002,0.51377463,0.823268382,0.728166526,0.8859176
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,AD,5.22E-47,0.999927811,0.863336957,1.136036787,0.561631624,0.496832782,0.61706823
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,PD,2.57E-42,0.540601902,0.462819983,0.61828464,0.7736378,0.730856184,0.804542325
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,CSVD,0.803528794,-0.015691563,-0.139278347,0.107903072,0.872174286,0.810040719,0.908969222
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,MS,2.60E-17,0.516962076,0.39713206,0.636565569,0.635705294,0.591742441,0.674912506
aseg.vol.table_Left.Accumbens.area_loop_our_model.rds,Left.Accumbens.area,NMOSD,0.215639261,0.092243733,-0.053750622,0.238174111,0.763866547,0.695996926,0.820685485
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,MCI,1.28E-06,0.483184827,0.287442984,0.678356275,0.815346436,0.722128382,0.862346971
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,AD,6.63E-57,1.118090982,0.979592581,1.256064337,0.497784575,0.432595742,0.545778203
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,PD,0.000185543,0.145816176,0.069351552,0.222253184,0.912851913,0.868670405,0.940127562
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,CSVD,0.951372939,0.003846331,-0.119743538,0.127434277,0.921062457,0.855382869,0.937523932
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,MS,0.084334465,0.103802983,-0.014062688,0.221621783,0.682396598,0.626787677,0.72445498
aseg.vol.table_Left.Amygdala_loop_our_model.rds,Left.Amygdala,NMOSD,0.129242445,-0.113050536,-0.259012751,0.032990036,0.801872827,0.723365187,0.844060416
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,MCI,0.258621291,0.111192683,-0.08167807,0.303928709,0.941988242,0.845315771,0.954982744
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,AD,3.02E-05,0.274976213,0.145756115,0.404049462,0.874363997,0.811012189,0.9146462
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,PD,0.153875294,0.055564133,-0.020805241,0.131922956,0.942485724,0.904400115,0.950740057
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,CSVD,2.06E-06,-0.301127981,-0.425342256,-0.176765349,0.836521402,0.773494374,0.864690431
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,MS,4.48E-25,0.636971817,0.516117682,0.757551225,0.671335813,0.625684954,0.721168508
aseg.vol.table_Left.Caudate_loop_our_model.rds,Left.Caudate,NMOSD,0.00840698,0.196691857,0.050386113,0.342861677,0.87080326,0.798954861,0.91541264
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,MCI,0.000257506,0.362389233,0.167937336,0.55640827,0.837970741,0.748840689,0.897608061
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,AD,2.37E-53,1.076498909,0.938692747,1.213794786,0.527642387,0.471489486,0.572590406
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,PD,0.001818279,0.121599883,0.045168446,0.198008298,0.943396246,0.904220823,0.956718061
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,CSVD,3.38E-06,0.294652935,0.170321566,0.41883911,0.873209903,0.803262649,0.901737686
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,MS,0.004111654,0.172770061,0.054748485,0.290713839,0.796741796,0.744654321,0.838120843
aseg.vol.table_Left.Hippocampus_loop_our_model.rds,Left.Hippocampus,NMOSD,0.193791195,-0.096811062,-0.242747739,0.049192785,0.920038478,0.846568767,0.935156515
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,MCI,0.438343915,-0.076251691,-0.268929747,0.116518735,0.891685508,0.793523029,0.939272832
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,AD,0.517047194,0.042507461,-0.086058062,0.171050102,0.890036441,0.819470895,0.924356317
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,PD,3.52E-10,-0.245333485,-0.321946609,-0.168674146,0.852871946,0.812438895,0.887368573
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,CSVD,0.037647631,0.131247929,0.0074933,0.254937326,0.893843665,0.833180838,0.921273804
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,MS,1.53E-05,0.260957555,0.142635287,0.379162817,0.807327118,0.743556997,0.854045376
aseg.vol.table_Left.Pallidum_loop_our_model.rds,Left.Pallidum,NMOSD,0.086584407,-0.127728986,-0.273718393,0.018348917,0.880411133,0.807540124,0.920806106
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,MCI,0.000727455,0.334659109,0.140455287,0.528462277,0.871172139,0.765122295,0.895231654
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,AD,5.85E-19,0.596174277,0.464651077,0.727389298,0.730887113,0.675294348,0.772065191
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,PD,2.19E-05,0.165629482,0.089133564,0.242094046,0.916183476,0.877569374,0.932462064
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,CSVD,0.142841301,-0.092468884,-0.216100818,0.031209046,0.830206558,0.768499565,0.87304658
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,MS,4.68E-25,0.636700293,0.515848699,0.757277268,0.702287937,0.655558838,0.745334172
aseg.vol.table_Left.Putamen_loop_our_model.rds,Left.Putamen,NMOSD,0.216282071,0.092114551,-0.053879518,0.238044786,0.907817008,0.824636156,0.928606317
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,MCI,0.014608998,0.241046812,0.047546324,0.434256834,0.884040259,0.785619144,0.910763341
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,AD,1.70E-14,0.511337752,0.380577111,0.641831223,0.794411069,0.728524288,0.842072537
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,PD,6.32E-09,-0.227000785,-0.303574386,-0.150384352,0.895838721,0.858849049,0.919673708
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,CSVD,5.67E-20,0.589390095,0.463001033,0.715497281,0.722702648,0.666958427,0.774057786
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,MS,1.52E-36,0.786987614,0.664578523,0.909065214,0.566361659,0.515381045,0.602506588
aseg.vol.table_Left.Thalamus_loop_our_model.rds,Left.Thalamus,NMOSD,1.15E-06,0.365156506,0.217933441,0.512129974,0.803292674,0.726757832,0.842895732
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,MCI,7.35E-05,0.393681365,0.198927853,0.587965731,0.840003014,0.734275914,0.87364424
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,AD,7.37E-14,0.498263851,0.367611013,0.628655925,0.789544246,0.724113293,0.829439196
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,PD,0.741812943,0.012835036,-0.063516326,0.089183953,0.951011443,0.903992576,0.961625801
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,CSVD,2.62E-11,0.42517028,0.30008694,0.549996779,0.802547807,0.740319507,0.839968362
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,MS,0.000685863,0.204575042,0.086458126,0.322599968,0.758898436,0.700069044,0.797327608
aseg.vol.table_Left.VentralDC_loop_our_model.rds,Left.VentralDC,NMOSD,0.453222556,-0.055858498,-0.201752217,0.090074027,0.809364278,0.733498207,0.847454159
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,MCI,0.000451859,0.347600107,0.153282754,0.541501685,0.857219951,0.757527053,0.898163431
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,AD,1.71E-37,0.877917737,0.743100793,1.012301197,0.638068717,0.57673552,0.686254263
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,PD,5.12E-17,0.328814243,0.251919536,0.405647325,0.859870973,0.816444919,0.876405336
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,CSVD,6.39E-05,0.25315846,0.129012237,0.37717963,0.889182083,0.826752602,0.902772461
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,MS,7.99E-19,0.54206598,0.422038217,0.661856934,0.675079725,0.625979326,0.725633557
aseg.vol.table_Right.Accumbens.area_loop_our_model.rds,Right.Accumbens.area,NMOSD,0.791941252,0.019641835,-0.126253199,0.165523157,0.852338047,0.780548672,0.88454088
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,MCI,2.79E-06,0.467052111,0.271502092,0.662049792,0.813521472,0.737692967,0.879355681
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,AD,2.10E-41,0.92928949,0.793750428,1.06437426,0.585351856,0.524287914,0.634315193
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,PD,0.257309094,0.044136182,-0.032226661,0.120490661,0.932894878,0.893639093,0.952301238
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,CSVD,0.427005285,-0.05010794,-0.173703696,0.073512759,0.942536433,0.872662965,0.949548179
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,MS,0.102132904,-0.098295188,-0.216107018,0.019561033,0.70159619,0.644291349,0.751882203
aseg.vol.table_Right.Amygdala_loop_our_model.rds,Right.Amygdala,NMOSD,1.54E-06,-0.360775172,-0.507721406,-0.213582149,0.798040907,0.717835631,0.821250899
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,MCI,0.560710814,0.057232924,-0.135495357,0.249891764,0.929034496,0.822671848,0.936295605
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,AD,0.413194588,0.053689379,-0.074887768,0.182237613,0.904473426,0.838287998,0.917121897
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,PD,0.465405294,0.028439937,-0.047915988,0.104790479,0.920700844,0.883207562,0.941825588
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,CSVD,7.76E-07,-0.313566185,-0.437836161,-0.189141709,0.826345166,0.763085148,0.868778728
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,MS,5.04E-11,0.398706752,0.279689345,0.517547231,0.76099415,0.693846436,0.80072943
aseg.vol.table_Right.Caudate_loop_our_model.rds,Right.Caudate,NMOSD,0.109446892,0.11929014,-0.026765819,0.26526343,0.916096222,0.850466354,0.937892242
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,MCI,0.000470106,0.346539429,0.152231553,0.540432807,0.818280521,0.716472787,0.855856802
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,AD,2.48E-54,1.08805332,0.950057105,1.225535119,0.502991636,0.451640436,0.548061598
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,PD,0.00318105,0.115009034,0.038585647,0.191410634,0.940785143,0.902516231,0.952662336
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,CSVD,1.40E-06,0.306092021,0.18170498,0.43032828,0.872842603,0.815551838,0.900042876
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,MS,0.085244577,0.103499627,-0.01436549,0.221318035,0.791599817,0.735531737,0.832573972
aseg.vol.table_Right.Hippocampus_loop_our_model.rds,Right.Hippocampus,NMOSD,0.036244967,-0.15616578,-0.302219065,-0.010004378,0.875537722,0.803525299,0.896841349
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,MCI,0.825708107,0.021659175,-0.171013546,0.214305666,0.893372899,0.802154125,0.92872285
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,AD,0.57563431,0.03672435,-0.091835889,0.165264829,0.922139144,0.852836244,0.944063014
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,PD,1.54E-14,-0.30105131,-0.377803947,-0.224242126,0.850260784,0.814724114,0.87982251
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,CSVD,0.000761962,0.212918426,0.088926603,0.336804785,0.868361115,0.803740415,0.898603295
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,MS,0.391641079,0.051490993,-0.066303014,0.169261717,0.793750084,0.739124373,0.834495082
aseg.vol.table_Right.Pallidum_loop_our_model.rds,Right.Pallidum,NMOSD,5.85E-07,-0.375253668,-0.522291546,-0.227959478,0.787992498,0.713166246,0.819197106
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,MCI,0.014723752,0.240765825,0.047267162,0.433974395,0.893167699,0.793111622,0.930362154
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,AD,1.90E-14,0.510380849,0.379628188,0.640866802,0.728693583,0.661829493,0.768901773
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,PD,0.001163471,0.126650723,0.050212821,0.203064632,0.934818949,0.891919465,0.951429377
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,CSVD,0.376987893,-0.055732739,-0.179331707,0.067893936,0.83105926,0.775152033,0.879889411
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,MS,1.41E-35,0.775164538,0.652888862,0.897113041,0.645069832,0.581684568,0.675820432
aseg.vol.table_Right.Putamen_loop_our_model.rds,Right.Putamen,NMOSD,0.062801724,0.138703057,-0.007405311,0.284715357,0.83742164,0.76439959,0.876360197
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,MCI,0.08784897,0.168174061,-0.024923265,0.361068009,0.852960607,0.753205339,0.89397291
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,AD,5.49E-12,0.457992806,0.327655575,0.588089326,0.81723072,0.75010716,0.852221261
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,PD,7.29E-13,-0.280853719,-0.357552386,-0.204102227,0.864921283,0.831997901,0.903827513
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,CSVD,1.06E-22,0.633634862,0.506826895,0.760141615,0.711752743,0.661766944,0.760087153
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,MS,8.47E-35,0.765587778,0.64341879,0.887433091,0.544418826,0.477718536,0.56874419
aseg.vol.table_Right.Thalamus_loop_our_model.rds,Right.Thalamus,NMOSD,3.54E-07,0.382599904,0.235252882,0.529685808,0.738117963,0.661183526,0.784320276
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,MCI,0.00022101,0.366323346,0.171834795,0.56037451,0.852674312,0.752077802,0.88738531
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,AD,1.62E-12,0.469689523,0.339263218,0.599869282,0.774759438,0.711809968,0.823279403
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,PD,0.154340893,-0.055501331,-0.131860141,0.020867998,0.954439755,0.909737629,0.961122394
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,CSVD,1.64E-12,0.451021616,0.325759047,0.576064893,0.808788888,0.748452763,0.854752837
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,MS,7.55E-07,0.298935567,0.180448957,0.417288449,0.748240032,0.697512298,0.794389127
aseg.vol.table_Right.VentralDC_loop_our_model.rds,Right.VentralDC,NMOSD,0.359818462,0.068202012,-0.077748795,0.21410547,0.827073497,0.755918058,0.871378331
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,MCI,0.084840114,0.169796982,-0.023307891,0.362696606,0.924441607,0.823309969,0.942029636
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,AD,1.76E-12,0.468898649,0.338478413,0.599072699,0.781664987,0.731579168,0.823949311
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,PD,0.082497145,-0.067665441,-0.144030222,0.008712194,0.911360563,0.874567506,0.92823883
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,CSVD,0.564919803,-0.036304259,-0.159894204,0.087303787,0.92301255,0.85958618,0.93772733
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,MS,4.97E-11,0.398836475,0.279818296,0.517677635,0.808618838,0.759474942,0.852508373
lh.aparc.area.table_lh_bankssts_area_loop_our_model.rds,lh_bankssts_area,NMOSD,2.14E-06,0.355667384,0.208509461,0.502582009,0.837443005,0.76486089,0.880422287
lh.aparc.area.table_lh_caudalanteriorcingulate_area_loop_our_model.rds,lh_caudalanteriorcingulate_area,MCI,0.825061301,-0.021740878,-0.214387375,0.170931913,0.948763739,0.848884451,0.947669337
lh.aparc.area.table_lh_caudalanteriorcingulate_area_loop_our_model.rds,lh_caudalanteriorcingulate_area,AD,0.005228027,0.18358346,0.054723756,0.312344663,0.911398049,0.843349662,0.945358716
lh.aparc.area.table_lh_caudalanteriorcingulate_area_loop_our_model.rds,lh_caudalanteriorcingulate_area,PD,2.50E-05,-0.164489392,-0.24095225,-0.08799537,0.922200209,0.875805114,0.94109484
lh.aparc.area.table_lh_caudalanteriorcingulate_area_loop_our_model.rds,lh_caudalanteriorcingulate_area,CSVD,0.850616993,-0.011878603,-0.135465536,0.111714237,0.936299902,0.870715268,0.94949776
lh.aparc.area.table_lh_caudalanteriorcingulate_area_loop_our_model.rds,lh_caudalanteriorcingulate_area,MS,0.201523726,0.076786531,-0.041037084,0.194575477,0.929987891,0.862645111,0.944231991
